namespace,localname,language,locale,value
http://www.brel.com/translations/boolean,false,en,US,False
http://www.brel.com/translations/boolean,true,en,US,True
http://www.brel.com/translations/report-element,abstract,en,US,Abstract
http://www.brel.com/translations/report-element,dimension,en,US,Dimension
http://www.brel.com/translations/report-element,member,en,US,Member
http://www.brel.com/translations/report-element,hypercube,en,US,Hypercube
http://www.brel.com/translations/report-element,line-items,en,US,Line Items
http://www.brel.com/translations/report-element,concept,en,US,Concept
http://www.brel.com/translations/literal,name,en,US,Name
http://www.brel.com/translations/literal,label,en,US,Label
http://www.brel.com/translations/literal,report-element-type,en,US,Report Element Type
http://www.brel.com/translations/literal,period-type,en,US,Period Type
http://www.brel.com/translations/literal,balance-type,en,US,Balance Type
http://www.brel.com/translations/literal,nillable,en,US,Is Nillable
http://www.brel.com/translations/literal,data-type,en,US,Data Type
http://www.brel.com/translations/literal,none,en,US,None
http://www.brel.com/translations/literal,dimension-type,en,US,Dimension Type
http://www.brel.com/translations/literal,is-explicit,en,US,Is Explicit
http://www.brel.com/translations/literal,network-identifier,en,US,Network Identifier
http://www.brel.com/translations/literal,info,en,US,Info
http://www.brel.com/translations/literal,presentation-network,en,US,Presentation Network
http://www.brel.com/translations/literal,definition-network,en,US,Definition Network
http://www.brel.com/translations/literal,calculation-network,en,US,Calculation Network
http://www.brel.com/translations/literal,id,en,US,Id
http://www.brel.com/translations/literal,value,en,US,Value
http://www.brel.com/translations/period-type,instant,en,US,Instant
http://www.brel.com/translations/period-type,duration,en,US,Duration
http://www.brel.com/translations/balance-type,credit,en,US,Credit
http://www.brel.com/translations/balance-type,debit,en,US,Debit
http://www.brel.com/translations/data-type,domainItemType,en,US,Domain
http://www.brel.com/translations/data-type,escapedItemType,en,US,Escaped Text
http://www.brel.com/translations/data-type,xmlNodesItemType,en,US,XML Nodes
http://www.brel.com/translations/data-type,xmlItemType,en,US,XML
http://www.brel.com/translations/data-type,textBlockItemType,en,US,Text Block
http://www.brel.com/translations/data-type,percentItemType,en,US,Percent
http://www.brel.com/translations/data-type,perShareItemType,en,US,Per Share
http://www.brel.com/translations/data-type,areaItemType,en,US,Area
http://www.brel.com/translations/data-type,volumeItemType,en,US,Volume
http://www.brel.com/translations/data-type,massItemType,en,US,Mass
